# 24-hour MPA fishing-entry forecast for 2024-08-12. 1879 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 367104040 (KNOX T), 1.0 km from Naples SMCA with a risk score of 1.00, driven by: prior_mpa_entries; traffic_within_10km; dist_to_mpa_m.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
338379767,SOLSTICE,0.703,Edward F. Ricketts SMCA,537.371,0.0,358.6,True,14.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 12:01:11,36.604,-121.891
368009830,BOHEMIAN PRINCESS,0.701,Russian River SMCA,7802.046,6.3,317.7,False,23.0,0.0,sog; traffic_within_10km; prior_mpa_entries,2024-08-12 12:01:28,38.444,-123.233
367507960,DB SALTA VERDE,0.695,Anacapa Island FMR,19828.996,0.1,299.2,False,14.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 06:00:17,34.253,-119.289
338452137,NO BAD DAYS,0.693,Matlahuayl SMR,1308.902,5.3,33.7,False,9.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 00:00:04,32.852,-117.287
367308610,SARAH C,0.693,Anacapa Island FMR,19202.803,0.1,11.2,False,14.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 00:00:53,34.247,-119.291
368328460,SATORI,0.686,Abalone Cove SMCA,8990.387,0.0,360.0,False,2.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 18:02:56,33.721,-118.278
338320706,ROCKABILLY,0.685,Blue Cavern Onshore SMCA (No-Take),50.65,9.2,70.4,True,18.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 16:47:38,33.453,-118.489
367537060,PRIVATE RESERVE,0.684,Crystal Cove SMCA,3789.377,10.5,244.7,False,2.0,0.0,prior_mpa_entries; sog; peak_hour,2024-08-12 18:00:24,33.571,-117.916
367534910,OCEAN SENTINEL,0.684,Anacapa Island FMR,19873.922,6.5,218.7,True,14.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 15:11:46,34.248,-119.271
338213027,RUNT,0.68,Arrow Point to Lion Head Point SMCA,258.609,10.4,138.9,False,3.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 23:03:14,33.451,-118.5
